Matricula;Item remuneratorio;Descricao;Qte Referencia;Vr Provento;Vr Desconto
10036;60;GRAT REG CLASSE          ;               ;    145.00;      0.00                                                                                                                   
10036;415;1/3 SAL APOSENT          ;               ;    241.66;      0.00                                                                                                                   
10040;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10040;25;ADIC TEMPO SERV          ;               ;    253.75;      0.00                                                                                                                   
10040;84;INCORP. GRATIFI          ;               ;   1350.00;      0.00                                                                                                                   
10043;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10043;25;ADIC TEMPO SERV          ;               ;    195.75;      0.00                                                                                                                   
10043;415;1/3 SAL APOSENT          ;               ;    241.66;      0.00                                                                                                                   
10044;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10044;25;ADIC TEMPO SERV          ;               ;    195.75;      0.00                                                                                                                   
10044;415;1/3 SAL APOSENT          ;               ;    241.66;      0.00                                                                                                                   
10044;655;DESC EMP CEF I           ;               ;      0.00;    298.57                                                                                                                   
10044;661;DESC EMP PANAME          ;               ;      0.00;     83.00                                                                                                                   
10048;35;PENSAO VITALICI          ;               ;   3500.00;      0.00                                                                                                                   
10049;35;PENSAO VITALICI          ;               ;   3500.00;      0.00                                                                                                                   
10052;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10052;655;DESC EMP CEF I           ;               ;      0.00;    156.07                                                                                                                   
10054;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10054;655;DESC EMP CEF I           ;               ;      0.00;    148.25                                                                                                                   
10055;3;PROVENTO                 ;               ;    848.68;      0.00                                                                                                                   
10057;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10058;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10062;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10062;641;DESC EMP BB I            ;               ;      0.00;    218.81                                                                                                                   
10062;655;DESC EMP CEF I           ;               ;      0.00;    219.28                                                                                                                   
10062;666;DESC EMP BIC II          ;               ;      0.00;     34.24                                                                                                                   
10063;3;PROVENTO                 ;               ;   8160.37;      0.00                                                                                                                   
10063;907;IRRF                     ;27.5%          ;      0.00;   1417.95                                                                                                                   
10065;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10065;655;DESC EMP CEF I           ;               ;      0.00;    187.50                                                                                                                   
10065;661;DESC EMP PANAME          ;               ;      0.00;     47.00                                                                                                                   
10068;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10068;655;DESC EMP CEF I           ;               ;      0.00;    119.03                                                                                                                   
10068;661;DESC EMP PANAME          ;               ;      0.00;     85.00                                                                                                                   
10069;3;PROVENTO                 ;               ;   1697.37;      0.00                                                                                                                   
10069;25;ADIC TEMPO SERV          ;               ;    135.78;      0.00                                                                                                                   
10069;80;ADIC NIV FORM T          ;               ;    227.82;      0.00                                                                                                                   
10070;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10070;25;ADIC TEMPO SERV          ;               ;    157.50;      0.00                                                                                                                   
10072;3;PROVENTO                 ;               ;    475.00;      0.00                                                                                                                   
10072;25;ADIC TEMPO SERV          ;               ;     76.00;      0.00                                                                                                                   
10072;655;DESC EMP CEF I           ;               ;      0.00;    159.29                                                                                                                   
10073;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10073;25;ADIC TEMPO SERV          ;               ;     82.50;      0.00                                                                                                                   
10073;655;DESC EMP CEF I           ;               ;      0.00;    149.58                                                                                                                   
10074;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10074;25;ADIC TEMPO SERV          ;               ;    172.50;      0.00                                                                                                                   
10075;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10075;655;DESC EMP CEF I           ;               ;      0.00;    189.30                                                                                                                   
10075;666;DESC EMP BIC II          ;               ;      0.00;     47.72                                                                                                                   
10078;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10078;25;ADIC TEMPO SERV          ;               ;    187.50;      0.00                                                                                                                   
10078;655;DESC EMP CEF I           ;               ;      0.00;    233.09                                                                                                                   
10078;656;DESC EMP CEF II          ;               ;      0.00;     21.13                                                                                                                   
10078;665;DESC EMP BIC I           ;               ;      0.00;     42.40                                                                                                                   
10079;35;PENSAO VITALICI          ;               ;    340.00;      0.00                                                                                                                   
10080;35;PENSAO VITALICI          ;               ;    340.00;      0.00                                                                                                                   
10080;661;DESC EMP PANAME          ;               ;      0.00;     80.00                                                                                                                   
10081;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10083;3;PROVENTO                 ;               ;    950.00;      0.00                                                                                                                   
10083;25;ADIC TEMPO SERV          ;               ;     76.00;      0.00                                                                                                                   
10083;116;ADICIONAL NOTUR          ;               ;    190.00;      0.00                                                                                                                   
10083;655;DESC EMP CEF I           ;               ;      0.00;    236.14                                                                                                                   
10084;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10084;25;ADIC TEMPO SERV          ;               ;    116.00;      0.00                                                                                                                   
10085;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10085;25;ADIC TEMPO SERV          ;               ;    130.50;      0.00                                                                                                                   
10086;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10086;25;ADIC TEMPO SERV          ;               ;     65.25;      0.00                                                                                                                   
10088;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10088;25;ADIC TEMPO SERV          ;               ;    130.50;      0.00                                                                                                                   
10088;655;DESC EMP CEF I           ;               ;      0.00;     68.61                                                                                                                   
10089;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10089;25;ADIC TEMPO SERV          ;               ;    135.00;      0.00                                                                                                                   
10089;655;DESC EMP CEF I           ;               ;      0.00;    191.86                                                                                                                   
10090;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10090;25;ADIC TEMPO SERV          ;               ;    157.50;      0.00                                                                                                                   
10090;641;DESC EMP BB I            ;               ;      0.00;    218.15                                                                                                                   
10091;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10091;25;ADIC TEMPO SERV          ;               ;    142.50;      0.00                                                                                                                   
10091;655;DESC EMP CEF I           ;               ;      0.00;    212.87                                                                                                                   
10091;661;DESC EMP PANAME          ;               ;      0.00;     70.00                                                                                                                   
10091;666;DESC EMP BIC II          ;               ;      0.00;     28.91                                                                                                                   
10092;3;PROVENTO                 ;               ;   1697.37;      0.00                                                                                                                   
10092;25;ADIC TEMPO SERV          ;               ;    186.71;      0.00                                                                                                                   
10092;80;ADIC NIV FORM T          ;               ;    607.52;      0.00                                                                                                                   
10092;101;GRAT EST TRAB S          ;               ;    246.62;      0.00                                                                                                                   
10092;655;DESC EMP CEF I           ;               ;      0.00;    339.20                                                                                                                   
10092;661;DESC EMP PANAME          ;               ;      0.00;    438.00                                                                                                                   
10096;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10096;25;ADIC TEMPO SERV          ;               ;    159.50;      0.00                                                                                                                   
10096;655;DESC EMP CEF I           ;               ;      0.00;     38.12                                                                                                                   
10096;656;DESC EMP CEF II          ;               ;      0.00;    161.35                                                                                                                   
10099;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10099;25;ADIC TEMPO SERV          ;               ;    187.50;      0.00                                                                                                                   
10099;655;DESC EMP CEF I           ;               ;      0.00;    100.42                                                                                                                   
10099;661;DESC EMP PANAME          ;               ;      0.00;    120.00                                                                                                                   
10100;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10100;25;ADIC TEMPO SERV          ;               ;    165.00;      0.00                                                                                                                   
10100;116;ADICIONAL NOTUR          ;               ;    150.00;      0.00                                                                                                                   
10100;655;DESC EMP CEF I           ;               ;      0.00;    232.13                                                                                                                   
10100;665;DESC EMP BIC I           ;               ;      0.00;     58.00                                                                                                                   
10100;666;DESC EMP BIC II          ;               ;      0.00;    296.28                                                                                                                   
10103;3;PROVENTO                 ;               ;    950.00;      0.00                                                                                                                   
10103;25;ADIC TEMPO SERV          ;               ;    180.50;      0.00                                                                                                                   
10103;655;DESC EMP CEF I           ;               ;      0.00;    223.07                                                                                                                   
10103;661;DESC EMP PANAME          ;               ;      0.00;     58.94                                                                                                                   
10105;3;PROVENTO                 ;               ;    950.00;      0.00                                                                                                                   
10105;25;ADIC TEMPO SERV          ;               ;    218.50;      0.00                                                                                                                   
10114;3;PROVENTO                 ;               ;   1697.37;      0.00                                                                                                                   
10114;25;ADIC TEMPO SERV          ;               ;    441.31;      0.00                                                                                                                   
10114;80;ADIC NIV FORM T          ;               ;    303.76;      0.00                                                                                                                   
10114;655;DESC EMP CEF I           ;               ;      0.00;    628.00                                                                                                                   
10114;656;DESC EMP CEF II          ;               ;      0.00;     42.06                                                                                                                   
10114;661;DESC EMP PANAME          ;               ;      0.00;     12.89                                                                                                                   
10114;665;DESC EMP BIC I           ;               ;      0.00;    112.12                                                                                                                   
10114;666;DESC EMP BIC II          ;               ;      0.00;     58.58                                                                                                                   
10116;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10116;25;ADIC TEMPO SERV          ;               ;    188.50;      0.00                                                                                                                   
10116;655;DESC EMP CEF I           ;               ;      0.00;    235.32                                                                                                                   
10116;665;DESC EMP BIC I           ;               ;      0.00;     63.62                                                                                                                   
10118;3;PROVENTO                 ;               ;   1697.37;      0.00                                                                                                                   
10118;25;ADIC TEMPO SERV          ;               ;    373.42;      0.00                                                                                                                   
10118;80;ADIC NIV FORM T          ;               ;    303.76;      0.00                                                                                                                   
10118;101;GRAT EST TRAB S          ;               ;    167.20;      0.00                                                                                                                   
10118;655;DESC EMP CEF I           ;               ;      0.00;    371.00                                                                                                                   
10118;907;IRRF                     ;7.50%          ;      0.00;     56.55                                                                                                                   
10120;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10120;25;ADIC TEMPO SERV          ;               ;    112.50;      0.00                                                                                                                   
10120;655;DESC EMP CEF I           ;               ;      0.00;    187.86                                                                                                                   
10121;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10121;25;ADIC TEMPO SERV          ;               ;    137.75;      0.00                                                                                                                   
10121;655;DESC EMP CEF I           ;               ;      0.00;    147.12                                                                                                                   
10123;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10123;25;ADIC TEMPO SERV          ;               ;    142.50;      0.00                                                                                                                   
10124;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10124;25;ADIC TEMPO SERV          ;               ;    116.00;      0.00                                                                                                                   
10127;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10127;25;ADIC TEMPO SERV          ;               ;    262.50;      0.00                                                                                                                   
10128;3;PROVENTO                 ;               ;   2692.21;      0.00                                                                                                                   
10128;15;DIF PROVENTO             ;               ;    500.42;      0.00                                                                                                                   
10128;25;ADIC TEMPO SERV          ;               ;    161.53;      0.00                                                                                                                   
10128;60;GRAT REG CLASSE          ;               ;    403.83;      0.00                                                                                                                   
10128;907;IRRF                     ;22.5%          ;      0.00;    242.59                                                                                                                   
10130;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10130;25;ADIC TEMPO SERV          ;               ;    150.00;      0.00                                                                                                                   
10130;655;DESC EMP CEF I           ;               ;      0.00;    195.46                                                                                                                   
