Matricula;Item remuneratorio;Descricao;Qte Referencia;Vr Provento;Vr Desconto
10708;655;DESC EMP CEF I           ;               ;      0.00;    583.79                                                                                                                   
10708;907;IRRF                     ;7.50%          ;      0.00;     43.41                                                                                                                   
10709;3;PROVENTO                 ;               ;    848.68;      0.00                                                                                                                   
10709;25;ADIC TEMPO SERV          ;               ;    212.17;      0.00                                                                                                                   
10709;80;ADIC NIV FORM T          ;               ;    265.79;      0.00                                                                                                                   
10709;101;GRAT EST TRAB S          ;               ;     54.34;      0.00                                                                                                                   
10710;3;PROVENTO                 ;               ;   2534.03;      0.00                                                                                                                   
10710;15;DIF PROVENTO             ;               ;    564.43;      0.00                                                                                                                   
10710;25;ADIC TEMPO SERV          ;               ;    760.20;      0.00                                                                                                                   
10710;60;GRAT REG CLASSE          ;               ;    380.10;      0.00                                                                                                                   
10710;656;DESC EMP CEF II          ;               ;      0.00;    195.44                                                                                                                   
10710;907;IRRF                     ;22.5%          ;      0.00;    229.46                                                                                                                   
10713;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10713;25;ADIC TEMPO SERV          ;               ;    142.50;      0.00                                                                                                                   
10713;655;DESC EMP CEF I           ;               ;      0.00;    100.27                                                                                                                   
10713;661;DESC EMP PANAME          ;               ;      0.00;    112.00                                                                                                                   
10714;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10714;25;ADIC TEMPO SERV          ;               ;    101.50;      0.00                                                                                                                   
10714;655;DESC EMP CEF I           ;               ;      0.00;    158.94                                                                                                                   
10721;3;PROVENTO                 ;               ;   1697.37;      0.00                                                                                                                   
10721;25;ADIC TEMPO SERV          ;               ;    475.26;      0.00                                                                                                                   
10721;80;ADIC NIV FORM T          ;               ;    227.82;      0.00                                                                                                                   
10721;101;GRAT EST TRAB S          ;               ;     33.44;      0.00                                                                                                                   
10721;656;DESC EMP CEF II          ;               ;      0.00;    250.61                                                                                                                   
10721;907;IRRF                     ;7.50%          ;      0.00;     48.46                                                                                                                   
10724;3;PROVENTO                 ;               ;    848.68;      0.00                                                                                                                   
10724;25;ADIC TEMPO SERV          ;               ;    229.14;      0.00                                                                                                                   
10724;80;ADIC NIV FORM T          ;               ;    113.91;      0.00                                                                                                                   
10724;101;GRAT EST TRAB S          ;               ;     79.42;      0.00                                                                                                                   
10725;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10725;25;ADIC TEMPO SERV          ;               ;    157.50;      0.00                                                                                                                   
10725;655;DESC EMP CEF I           ;               ;      0.00;    197.25                                                                                                                   
10725;656;DESC EMP CEF II          ;               ;      0.00;     31.28                                                                                                                   
10725;665;DESC EMP BIC I           ;               ;      0.00;     58.26                                                                                                                   
10728;3;PROVENTO                 ;               ;   1697.37;      0.00                                                                                                                   
10728;25;ADIC TEMPO SERV          ;               ;    407.36;      0.00                                                                                                                   
10728;80;ADIC NIV FORM T          ;               ;    531.58;      0.00                                                                                                                   
10728;101;GRAT EST TRAB S          ;               ;     41.80;      0.00                                                                                                                   
10728;655;DESC EMP CEF I           ;               ;      0.00;    551.01                                                                                                                   
10728;656;DESC EMP CEF II          ;               ;      0.00;    183.34                                                                                                                   
10728;907;IRRF                     ;7.50%          ;      0.00;     66.78                                                                                                                   
10730;3;PROVENTO                 ;               ;   1697.37;      0.00                                                                                                                   
10730;25;ADIC TEMPO SERV          ;               ;    594.07;      0.00                                                                                                                   
10730;80;ADIC NIV FORM T          ;               ;    227.82;      0.00                                                                                                                   
10730;907;IRRF                     ;7.50%          ;      0.00;     54.86                                                                                                                   
10732;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10732;25;ADIC TEMPO SERV          ;               ;    232.50;      0.00                                                                                                                   
10732;655;DESC EMP CEF I           ;               ;      0.00;    100.17                                                                                                                   
10732;656;DESC EMP CEF II          ;               ;      0.00;    113.17                                                                                                                   
10732;657;DESC EMP CEF II          ;               ;      0.00;    243.38                                                                                                                   
10733;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10733;25;ADIC TEMPO SERV          ;               ;    180.00;      0.00                                                                                                                   
10734;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10734;25;ADIC TEMPO SERV          ;               ;    232.00;      0.00                                                                                                                   
10734;60;GRAT REG CLASSE          ;               ;    145.00;      0.00                                                                                                                   
10739;3;PROVENTO                 ;               ;    950.00;      0.00                                                                                                                   
10739;25;ADIC TEMPO SERV          ;               ;    199.50;      0.00                                                                                                                   
10740;3;PROVENTO                 ;               ;   1242.17;      0.00                                                                                                                   
10740;15;DIF PROVENTO             ;               ;    257.56;      0.00                                                                                                                   
10740;25;ADIC TEMPO SERV          ;               ;    248.43;      0.00                                                                                                                   
10740;60;GRAT REG CLASSE          ;               ;    186.32;      0.00                                                                                                                   
10740;907;IRRF                     ;7.50%          ;      0.00;     11.01                                                                                                                   
10742;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10742;25;ADIC TEMPO SERV          ;               ;    180.00;      0.00                                                                                                                   
10742;655;DESC EMP CEF I           ;               ;      0.00;    163.96                                                                                                                   
10752;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10752;25;ADIC TEMPO SERV          ;               ;    188.50;      0.00                                                                                                                   
10754;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10754;15;DIF PROVENTO             ;               ;    120.00;      0.00                                                                                                                   
10754;25;ADIC TEMPO SERV          ;               ;    195.00;      0.00                                                                                                                   
10754;655;DESC EMP CEF I           ;               ;      0.00;    179.80                                                                                                                   
10754;661;DESC EMP PANAME          ;               ;      0.00;     48.00                                                                                                                   
10754;666;DESC EMP BIC II          ;               ;      0.00;    249.93                                                                                                                   
10755;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10755;25;ADIC TEMPO SERV          ;               ;    253.75;      0.00                                                                                                                   
10755;666;DESC EMP BIC II          ;               ;      0.00;    309.34                                                                                                                   
10756;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10756;25;ADIC TEMPO SERV          ;               ;    188.50;      0.00                                                                                                                   
10756;655;DESC EMP CEF I           ;               ;      0.00;    183.00                                                                                                                   
10756;656;DESC EMP CEF II          ;               ;      0.00;     23.48                                                                                                                   
10756;665;DESC EMP BIC I           ;               ;      0.00;     91.53                                                                                                                   
10756;666;DESC EMP BIC II          ;               ;      0.00;     91.53                                                                                                                   
10757;3;PROVENTO                 ;               ;   1697.37;      0.00                                                                                                                   
10757;25;ADIC TEMPO SERV          ;               ;    509.21;      0.00                                                                                                                   
10757;80;ADIC NIV FORM T          ;               ;    531.58;      0.00                                                                                                                   
10757;101;GRAT EST TRAB S          ;               ;     37.62;      0.00                                                                                                                   
10757;655;DESC EMP CEF I           ;               ;      0.00;    329.99                                                                                                                   
10757;907;IRRF                     ;15.0%          ;      0.00;     81.34                                                                                                                   
10758;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10758;25;ADIC TEMPO SERV          ;               ;    224.75;      0.00                                                                                                                   
10764;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10764;25;ADIC TEMPO SERV          ;               ;    135.00;      0.00                                                                                                                   
10771;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10771;25;ADIC TEMPO SERV          ;               ;    195.00;      0.00                                                                                                                   
10771;655;DESC EMP CEF I           ;               ;      0.00;    188.09                                                                                                                   
10773;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10773;25;ADIC TEMPO SERV          ;               ;    166.75;      0.00                                                                                                                   
10774;3;PROVENTO                 ;               ;   2800.99;      0.00                                                                                                                   
10774;15;DIF PROVENTO             ;               ;    585.15;      0.00                                                                                                                   
10774;25;ADIC TEMPO SERV          ;               ;    588.20;      0.00                                                                                                                   
10774;60;GRAT REG CLASSE          ;               ;    420.14;      0.00                                                                                                                   
10774;655;DESC EMP CEF I           ;               ;      0.00;    465.30                                                                                                                   
10774;656;DESC EMP CEF II          ;               ;      0.00;    231.41                                                                                                                   
10774;907;IRRF                     ;22.5%          ;      0.00;    385.80                                                                                                                   
10775;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10775;25;ADIC TEMPO SERV          ;               ;    188.50;      0.00                                                                                                                   
10777;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10777;25;ADIC TEMPO SERV          ;               ;    159.50;      0.00                                                                                                                   
10777;655;DESC EMP CEF I           ;               ;      0.00;    209.01                                                                                                                   
10777;656;DESC EMP CEF II          ;               ;      0.00;     39.26                                                                                                                   
10777;665;DESC EMP BIC I           ;               ;      0.00;     79.38                                                                                                                   
10778;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10778;25;ADIC TEMPO SERV          ;               ;    217.50;      0.00                                                                                                                   
10778;655;DESC EMP CEF I           ;               ;      0.00;    210.37                                                                                                                   
10778;661;DESC EMP PANAME          ;               ;      0.00;     55.00                                                                                                                   
10779;3;PROVENTO                 ;               ;   1697.37;      0.00                                                                                                                   
10779;25;ADIC TEMPO SERV          ;               ;    390.39;      0.00                                                                                                                   
10779;80;ADIC NIV FORM T          ;               ;    683.46;      0.00                                                                                                                   
10779;655;DESC EMP CEF I           ;               ;      0.00;    590.23                                                                                                                   
10779;656;DESC EMP CEF II          ;               ;      0.00;    150.06                                                                                                                   
10780;3;PROVENTO                 ;               ;   1697.37;      0.00                                                                                                                   
10780;25;ADIC TEMPO SERV          ;               ;    492.23;      0.00                                                                                                                   
10780;80;ADIC NIV FORM T          ;               ;    227.82;      0.00                                                                                                                   
10780;101;GRAT EST TRAB S          ;               ;    242.44;      0.00                                                                                                                   
10780;655;DESC EMP CEF I           ;               ;      0.00;    685.06                                                                                                                   
10780;661;DESC EMP PANAME          ;               ;      0.00;     44.87                                                                                                                   
10780;665;DESC EMP BIC I           ;               ;      0.00;    139.31                                                                                                                   
10780;907;IRRF                     ;7.50%          ;      0.00;     65.41                                                                                                                   
10781;3;PROVENTO                 ;               ;    848.68;      0.00                                                                                                                   
10781;25;ADIC TEMPO SERV          ;               ;    297.03;      0.00                                                                                                                   
10781;80;ADIC NIV FORM T          ;               ;    113.91;      0.00                                                                                                                   
10783;3;PROVENTO                 ;               ;   1900.21;      0.00                                                                                                                   
10783;15;DIF PROVENTO             ;               ;    369.77;      0.00                                                                                                                   
10783;25;ADIC TEMPO SERV          ;               ;    399.04;      0.00                                                                                                                   
10783;60;GRAT REG CLASSE          ;               ;    285.03;      0.00                                                                                                                   
10783;655;DESC EMP CEF I           ;               ;      0.00;    557.76                                                                                                                   
10783;907;IRRF                     ;15.0%          ;      0.00;    108.08                                                                                                                   
10785;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10785;25;ADIC TEMPO SERV          ;               ;    180.00;      0.00                                                                                                                   
10789;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10789;25;ADIC TEMPO SERV          ;               ;    165.00;      0.00                                                                                                                   
10789;655;DESC EMP CEF I           ;               ;      0.00;    146.65                                                                                                                   
10790;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10790;25;ADIC TEMPO SERV          ;               ;    262.50;      0.00                                                                                                                   
10791;3;PROVENTO                 ;               ;   2914.14;      0.00                                                                                                                   
10791;15;DIF PROVENTO             ;               ;    631.19;      0.00                                                                                                                   
10791;25;ADIC TEMPO SERV          ;               ;    757.67;      0.00                                                                                                                   
10791;60;GRAT REG CLASSE          ;               ;    437.12;      0.00                                                                                                                   
10791;907;IRRF                     ;27.5%          ;      0.00;    477.38                                                                                                                   
10793;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10793;25;ADIC TEMPO SERV          ;               ;    150.00;      0.00                                                                                                                   
10798;3;PROVENTO                 ;               ;   1949.25;      0.00                                                                                                                   
10798;15;DIF PROVENTO             ;               ;    416.21;      0.00                                                                                                                   
10798;25;ADIC TEMPO SERV          ;               ;    467.82;      0.00                                                                                                                   
10798;60;GRAT REG CLASSE          ;               ;    292.38;      0.00                                                                                                                   
10798;655;DESC EMP CEF I           ;               ;      0.00;    162.02                                                                                                                   
10801;3;PROVENTO                 ;               ;    974.62;      0.00                                                                                                                   
10801;15;DIF PROVENTO             ;               ;    208.06;      0.00                                                                                                                   
10801;25;ADIC TEMPO SERV          ;               ;    233.90;      0.00                                                                                                                   
10801;60;GRAT REG CLASSE          ;               ;    146.19;      0.00                                                                                                                   
10801;655;DESC EMP CEF I           ;               ;      0.00;    425.98                                                                                                                   
10805;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10805;25;ADIC TEMPO SERV          ;               ;    157.50;      0.00                                                                                                                   
10805;661;DESC EMP PANAME          ;               ;      0.00;    154.11                                                                                                                   
10808;3;PROVENTO                 ;               ;   1949.25;      0.00                                                                                                                   
10808;15;DIF PROVENTO             ;               ;    377.28;      0.00                                                                                                                   
10808;25;ADIC TEMPO SERV          ;               ;    506.80;      0.00                                                                                                                   
10808;907;IRRF                     ;15.0%          ;      0.00;     89.97                                                                                                                   
10812;3;PROVENTO                 ;               ;   2484.35;      0.00                                                                                                                   
10812;15;DIF PROVENTO             ;               ;    465.59;      0.00                                                                                                                   
10812;25;ADIC TEMPO SERV          ;               ;    546.55;      0.00                                                                                                                   
10812;907;IRRF                     ;15.0%          ;      0.00;    189.44                                                                                                                   
10816;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10816;25;ADIC TEMPO SERV          ;               ;    203.00;      0.00                                                                                                                   
10817;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10817;25;ADIC TEMPO SERV          ;               ;    142.50;      0.00                                                                                                                   
10819;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10819;25;ADIC TEMPO SERV          ;               ;    165.00;      0.00                                                                                                                   
10821;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10821;25;ADIC TEMPO SERV          ;               ;    135.00;      0.00                                                                                                                   
10821;641;DESC EMP BB I            ;               ;      0.00;    113.00                                                                                                                   
10821;655;DESC EMP CEF I           ;               ;      0.00;    165.85                                                                                                                   
10822;3;PROVENTO                 ;               ;   2914.14;      0.00                                                                                                                   
10822;15;DIF PROVENTO             ;               ;    653.57;      0.00                                                                                                                   
10822;25;ADIC TEMPO SERV          ;               ;    903.38;      0.00                                                                                                                   
10822;60;GRAT REG CLASSE          ;               ;    437.12;      0.00                                                                                                                   
10822;907;IRRF                     ;15.0%          ;      0.00;    187.74                                                                                                                   
10822;930;PENSAO ALIMENTI          ; R$            ;      0.00;   1063.66                                                                                                                   
10827;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10827;25;ADIC TEMPO SERV          ;               ;    188.50;      0.00                                                                                                                   
10827;655;DESC EMP CEF I           ;               ;      0.00;    229.88                                                                                                                   
10827;661;DESC EMP PANAME          ;               ;      0.00;     68.60                                                                                                                   
10828;3;PROVENTO                 ;               ;    848.68;      0.00                                                                                                                   
10828;25;ADIC TEMPO SERV          ;               ;    263.09;      0.00                                                                                                                   
10828;80;ADIC NIV FORM T          ;               ;    303.76;      0.00                                                                                                                   
10828;84;INCORP. GRATIFI          ;               ;    300.00;      0.00                                                                                                                   
10828;101;GRAT EST TRAB S          ;               ;     75.24;      0.00                                                                                                                   
10828;655;DESC EMP CEF I           ;               ;      0.00;    307.00                                                                                                                   
10828;907;IRRF                     ;7.50%          ;      0.00;      0.23                                                                                                                   
10830;3;PROVENTO                 ;               ;   1697.37;      0.00                                                                                                                   
10830;25;ADIC TEMPO SERV          ;               ;    475.26;      0.00                                                                                                                   
10830;80;ADIC NIV FORM T          ;               ;    227.82;      0.00                                                                                                                   
10830;101;GRAT EST TRAB S          ;               ;     91.96;      0.00                                                                                                                   
10834;3;PROVENTO                 ;               ;   1697.37;      0.00                                                                                                                   
10834;25;ADIC TEMPO SERV          ;               ;    543.15;      0.00                                                                                                                   
10834;80;ADIC NIV FORM T          ;               ;    227.82;      0.00                                                                                                                   
10834;101;GRAT EST TRAB S          ;               ;     75.24;      0.00                                                                                                                   
10834;907;IRRF                     ;7.50%          ;      0.00;     56.69                                                                                                                   
10837;3;PROVENTO                 ;               ;    974.62;      0.00                                                                                                                   
10837;15;DIF PROVENTO             ;               ;    188.62;      0.00                                                                                                                   
10837;25;ADIC TEMPO SERV          ;               ;    253.40;      0.00                                                                                                                   
10837;655;DESC EMP CEF I           ;               ;      0.00;    197.83                                                                                                                   
10839;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10839;25;ADIC TEMPO SERV          ;               ;    137.75;      0.00                                                                                                                   
10840;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10840;25;ADIC TEMPO SERV          ;               ;    195.00;      0.00                                                                                                                   
10840;655;DESC EMP CEF I           ;               ;      0.00;    180.21                                                                                                                   
10841;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10841;25;ADIC TEMPO SERV          ;               ;    127.50;      0.00                                                                                                                   
10845;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10845;25;ADIC TEMPO SERV          ;               ;    159.50;      0.00                                                                                                                   
10845;60;GRAT REG CLASSE          ;               ;    145.00;      0.00                                                                                                                   
10847;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10848;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10848;25;ADIC TEMPO SERV          ;               ;    240.00;      0.00                                                                                                                   
10848;655;DESC EMP CEF I           ;               ;      0.00;    200.84                                                                                                                   
10848;661;DESC EMP PANAME          ;               ;      0.00;     68.44                                                                                                                   
10853;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10853;25;ADIC TEMPO SERV          ;               ;    195.00;      0.00                                                                                                                   
10859;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10859;25;ADIC TEMPO SERV          ;               ;    166.75;      0.00                                                                                                                   
10865;3;PROVENTO                 ;               ;    848.68;      0.00                                                                                                                   
10865;25;ADIC TEMPO SERV          ;               ;    195.19;      0.00                                                                                                                   
10865;80;ADIC NIV FORM T          ;               ;    303.76;      0.00                                                                                                                   
10865;101;GRAT EST TRAB S          ;               ;    104.50;      0.00                                                                                                                   
10869;3;PROVENTO                 ;               ;   1697.37;      0.00                                                                                                                   
10869;25;ADIC TEMPO SERV          ;               ;    509.21;      0.00                                                                                                                   
10869;80;ADIC NIV FORM T          ;               ;    607.52;      0.00                                                                                                                   
10869;655;DESC EMP CEF I           ;               ;      0.00;    727.00                                                                                                                   
